document_id,borough,zip,block,lot,address,recorded_date,doc_amount,doc_type
2026082600319001,Queens,11429,11197,47,109-21 SPRINGFIELD BLVD,2026-08-31,11129.77,MTGE
2026082600758001,Brooklyn,11203,4730,59,202 EAST 59 STREET,2026-08-31,47095.95,MTGE
2026082600807001,Brooklyn,11215,958,42,232 5 AVENUE,2026-08-31,113648.18,MTGE
2026082601016001,Queens,11429,10857,29,209-20 99 AVENUE,2026-08-31,31768.62,MTGE
2026081700609001,Queens,11365,6932,33,6933 165TH STREET,2026-08-28,84059.08,MTGE
2026082500182001,Brooklyn,11234,7851,82,1464 E 54TH ST,2026-08-28,33706.43,MTGE
2026082500974001,Queens,11412,10988,28,191-44 113 ROAD,2026-08-28,130580.26,MTGE
2026082600420001,Queens,11434,12349,8,167-03 FOCH BOULEVARD,2026-08-28,59514.58,MTGE
2026082400013001,Queens,11434,12589,60,140-36 172 STREET,2026-08-27,24898.04,MTGE
2026082400135001,Queens,11411,12789,66,119-14 230 STREET,2026-08-27,140064.06,MTGE
2026082400159001,Bronx,10465,5599,29,260 ROBINSON AVE,2026-08-27,31854.41,MTGE
2026082400201001,Queens,11412,12629,24,118-34 201 STREET,2026-08-27,64098.95,MTGE
2026082400730001,Brooklyn,11208,4064,135,632 CLEVELAND STREET,2026-08-27,14511.26,MTGE
2026082400904001,Brooklyn,11234,7903,29,1467 EAST 58 STREET,2026-08-27,153239.02,MTGE
2026082500466001,Brooklyn,11236,7965,96,574 EAST 87 STREET,2026-08-27,24214.97,MTGE
2026082500621001,Brooklyn,11234,8408,54,2055 EAST 65TH STREET,2026-08-27,23227.67,MTGE
2026082500935001,Brooklyn,11234,7840,20,3966 FLATLANDS AVENUE,2026-08-27,60170.21,MTGE
2026082000488001,Bronx,10472,3758,10,1110 UNDERHILL AVE,2026-08-26,28110.48,MTGE
2026082000905001,Queens,11426,7996,22,237-17 FAIRBURY AVENUE,2026-08-26,19021.32,MTGE
2026082100636001,Queens,11434,13291,49,144-55 177 STREET,2026-08-26,23482.38,MTGE
2026082400237001,Brooklyn,11234,7855,18,1255 EAST 57 STREET,2026-08-26,4183.37,MTGE
2026082400406001,Brooklyn,,4415,1212,12205 FLATLANDS AVENUE,2026-08-26,46245.97,MTGE
2026082000887001,Brooklyn,11212,3568,151,754 SARATOGA AVENUE,2026-08-25,18098.4,MTGE
2026082001112002,Brooklyn,11236,8056,52,21 PAERDEGAT 7 STREET,2026-08-25,1095000,MTGE
2026081800955001,Queens,11420,11720,56,132-42 114TH PLACE,2026-08-24,36978.6,MTGE
2026081900015001,Brooklyn,11236,8252,55,10517 FLATLANDS 4 ST,2026-08-24,37554.89,MTGE
2026081900032002,Queens,11691,15834,23,344 BEACH 44 STREET,2026-08-24,170378.35,MTGE
2026081900034001,Queens,11420,11669,51,115-29 125 STREET,2026-08-24,40089.27,MTGE
2026081400729001,Brooklyn,11236,8141,88,"ND ST, BROOKLYN, NY",2026-08-21,23292.36,MTGE
2026081700647001,Queens,11433,10249,33,173-09 108 AVENUE,2026-08-21,163025.57,MTGE
2026081800565002,Brooklyn,11203,4872,63,125 EAST 35 STREET,2026-08-21,194073.41,MTGE
2026081800587001,Brooklyn,11236,8246,3,10017 AVENUE L,2026-08-21,22304.18,MTGE
2026081800618001,Brooklyn,11226,5192,82,305 EAST 26 STREET,2026-08-21,0,MTGE
2026081800709001,Queens,11412,11041,28,115-23 200TH STREET,2026-08-21,45323.5,MTGE
2026081800807001,Queens,11423,10849,30,99-21 202 STREET,2026-08-21,190102.26,MTGE
2026080700440002,Brooklyn,11204,5518,17,1724 60 STREET,2026-08-20,1873687.5,MTGE
2026081800016001,Bronx,10466,5122,20,MURDOCK AVENUE BRONX NY,2026-08-20,24815.92,MTGE
2026081400082001,Queens,11434,12203,20,150 84 116TH DR,2026-08-19,22168.09,MTGE
2026081400175001,Brooklyn,11236,8024,51,924 E 88TH ST,2026-08-19,13813.05,MTGE
2026081400719001,Queens,11434,12593,10,174-24 142 AVENUE,2026-08-19,35132.07,MTGE
2026081401033001,Queens,11412,10882,33,104-12 192 STREET,2026-08-19,27809.43,MTGE
2026081300415001,Brooklyn,11236,7999,33,711 EAST 78 STREET,2026-08-18,51261,MTGE
2026081300592001,Queens,11411,11293,41,11506 230TH STREET,2026-08-18,26432.44,MTGE
